Pos.,No.,Name,Team,Laps,Time/Gap,Personal Best,Position Diff
1,15,wagonggong,Team Russian Poisonous Milk,24,33:36.384,1:21.869,+1
2,21,lovepes2010,Audi Sport Team FlyingBird,24,+8.941,1:22.003,-1
3,22,smallbubble,NorthernChina Racing,24,+19.053,1:22.651,+1
4,23,OMGCA,xTacing OFCR Team,24,+34.484,1:22.143,-1
5,47,FUKEC,NorthernChina Racing,23,+1 Lap,1:24.006,+4
6,54,Leonardo Chan,Shanghai Power Racing,23,+1 Lap,1:24.857,+4
7,99,DumiBirdF,Audi Sport Team FlyingBird,23,+1 Lap,1:24.336,0
8,48,Parker Chen,Shanghai Power Racing,20,+4 Laps,1:26.211,+3
9,86,ALLLLLLL,Mamaipi GP,17,DNF,1:23.056,-3
10,17,Eskwen,Team Russian Poisonous Milk,2,DNF,1:26.624,-5
11,72,kimi hxp,xTacing OFCR Team,2,DNF,1:36.016,-3
Pos.,No.,Name,Team,Laps,Time/Gap,Personal Best,Position Diff
1,15,wagonggong,Team Russian Poisonous Milk,24,33:36.384,1:21.869,+1
2,21,lovepes2010,Audi Sport Team FlyingBird,24,+8.941,1:22.003,-1
3,22,smallbubble,NorthernChina Racing,24,+19.053,1:22.651,+1
4,23,OMGCA,xTacing OFCR Team,24,+34.484,1:22.143,-1
5,47,FUKEC,NorthernChina Racing,23,+1 Lap,1:24.006,+4
6,54,Leonardo Chan,Shanghai Power Racing,23,+1 Lap,1:24.857,+4
7,99,DumiBirdF,Audi Sport Team FlyingBird,23,+1 Lap,1:24.336,0
8,48,Parker Chen,Shanghai Power Racing,20,+4 Laps,1:26.211,+3
9,86,ALLLLLLL,Mamaipi GP,17,DNF,1:23.056,-3
10,17,Eskwen,Team Russian Poisonous Milk,2,DNF,1:26.624,-5
11,72,kimi hxp,xTacing OFCR Team,2,DNF,1:36.016,-3
