Pos.,No.,Name,Team,Laps,Time/Gap,Personal Best,Position Diff
1,21,lovepes2010,Audi Sport Team FlyingBird,24,37:11.644,1:30.550,+1
2,23,OMGCA,xTacing OFCR Team,24,+2.930,1:30.334,+1
3,47,FUKEC,NorthernChina Racing,24,+53.644,1:32.211,+3
4,44,cHAMpion cheng,Shanghai Power Racing,24,+54.245,1:31.296,+3
5,17,Eskwen,Team Russian Poisonous Milk,24,+78.578,1:31.925,+3
6,99,DumiBirdF,Audi Sport Team FlyingBird,24,+83.121,1:31.022,+4
7,15,wagonggong,Team Russian Poisonous Milk,24,+105.184,1:29.952,-6
8,22,smallbubble,NorthernChina Racing,23,DNF,1:31.202,-3
9,48,Parker Chen,Shanghai Power Racing,16,DNF,1:33.147,0
10,28,bob,xTacing OFCR Team,2,DNF,1:36.005,+1
11,86,ALLLLLLL,Mamaipi GP,0,DNF,N/A,-7
Pos.,No.,Name,Team,Laps,Time/Gap,Personal Best,Position Diff
1,21,lovepes2010,Audi Sport Team FlyingBird,24,37:11.644,1:30.550,+1
2,23,OMGCA,xTacing OFCR Team,24,+2.930,1:30.334,+1
3,47,FUKEC,NorthernChina Racing,24,+53.644,1:32.211,+3
4,44,cHAMpion cheng,Shanghai Power Racing,24,+54.245,1:31.296,+3
5,17,Eskwen,Team Russian Poisonous Milk,24,+78.578,1:31.925,+3
6,99,DumiBirdF,Audi Sport Team FlyingBird,24,+83.121,1:31.022,+4
7,15,wagonggong,Team Russian Poisonous Milk,24,+105.184,1:29.952,-6
8,22,smallbubble,NorthernChina Racing,23,DNF,1:31.202,-3
9,48,Parker Chen,Shanghai Power Racing,16,DNF,1:33.147,0
10,28,bob,xTacing OFCR Team,2,DNF,1:36.005,+1
11,86,ALLLLLLL,Mamaipi GP,0,DNF,N/A,-7
Pos.,No.,Name,Team,Laps,Time/Gap,Personal Best,Position Diff
1,21,lovepes2010,Audi Sport Team FlyingBird,24,37:11.644,1:30.550,+1
2,23,OMGCA,xTacing OFCR Team,24,+2.930,1:30.334,+1
3,47,FUKEC,NorthernChina Racing,24,+53.644,1:32.211,+3
4,44,cHAMpion cheng,Shanghai Power Racing,24,+54.245,1:31.296,+3
5,17,Eskwen,Team Russian Poisonous Milk,24,+78.578,1:31.925,+3
6,99,DumiBirdF,Audi Sport Team FlyingBird,24,+83.121,1:31.022,+4
7,15,wagonggong,Team Russian Poisonous Milk,24,+105.184,1:29.952,-6
8,22,smallbubble,NorthernChina Racing,23,DNF,1:31.202,-3
9,48,Parker Chen,Shanghai Power Racing,16,DNF,1:33.147,0
10,28,bob,xTacing OFCR Team,2,DNF,1:36.005,+1
11,86,ALLLLLLL,Mamaipi GP,0,DNF,N/A,-7
