Pos.,No.,Name,Team,Laps,Time/Gap,Personal Best,Position Diff
1,15,wagonggong,Team Russian Poisonous Milk,26,37:57.484,1:15.460,+2
2,21,lovepes2010,Audi Sport Team FlyingBird,26,+0.514,1:15.128,0
3,22,smallbubble,NorthernChina Racing,26,+10.835,1:16.123,+2
4,32,Giedo VDG2013,NorthernChina Racing,26,+12.701,1:16.277,+5
5,5,DUO MEI,xTacing OFCR Team,26,+14.747,1:16.275,+2
6,23,OMGCA,xTacing OFCR Team,26,+44.137,1:15.559,-2
7,2,ghgyyukg,Kimi Sleeping Team,26,+64.283,1:14.922,-6
8,27,SennaAndProst,Kimi Sleeping Team,25,+1 Lap,1:16.733,0
9,99,DumiBirdF,Audi Sport Team FlyingBird,25,+1 Lap,1:17.107,-3
10,54,Leonardo Chan,Shanghai Power Racing,25,+1 Lap,1:16.838,0
11,48,Parker Chen,Shanghai Power Racing,24,+2 Laps,1:16.290,+1
12,17,Eskwen,Team Russian Poisonous Milk,24,+2 Laps,1:16.301,-1
Pos.,No.,Name,Team,Laps,Time/Gap,Personal Best,Position Diff
1,15,wagonggong,Team Russian Poisonous Milk,26,37:57.484,1:15.460,+2
2,21,lovepes2010,Audi Sport Team FlyingBird,26,+0.514,1:15.128,0
3,22,smallbubble,NorthernChina Racing,26,+10.835,1:16.123,+2
4,32,Giedo VDG2013,NorthernChina Racing,26,+12.701,1:16.277,+5
5,5,DUO MEI,xTacing OFCR Team,26,+14.747,1:16.275,+2
6,23,OMGCA,xTacing OFCR Team,26,+44.137,1:15.559,-2
7,2,ghgyyukg,Kimi Sleeping Team,26,+64.283,1:14.922,-6
8,27,SennaAndProst,Kimi Sleeping Team,25,+1 Lap,1:16.733,0
9,99,DumiBirdF,Audi Sport Team FlyingBird,25,+1 Lap,1:17.107,-3
10,54,Leonardo Chan,Shanghai Power Racing,25,+1 Lap,1:16.838,0
11,48,Parker Chen,Shanghai Power Racing,24,+2 Laps,1:16.290,+1
12,17,Eskwen,Team Russian Poisonous Milk,24,+2 Laps,1:16.301,-1
Pos.,No.,Name,Team,Laps,Time/Gap,Personal Best,Position Diff
1,15,wagonggong,Team Russian Poisonous Milk,26,37:57.484,1:15.460,+2
2,21,lovepes2010,Audi Sport Team FlyingBird,26,+0.514,1:15.128,0
3,22,smallbubble,NorthernChina Racing,26,+10.835,1:16.123,+2
4,32,Giedo VDG2013,NorthernChina Racing,26,+12.701,1:16.277,+5
5,5,DUO MEI,xTacing OFCR Team,26,+14.747,1:16.275,+2
6,23,OMGCA,xTacing OFCR Team,26,+44.137,1:15.559,-2
7,2,ghgyyukg,Kimi Sleeping Team,26,+64.283,1:14.922,-6
8,27,SennaAndProst,Kimi Sleeping Team,25,+1 Lap,1:16.733,0
9,99,DumiBirdF,Audi Sport Team FlyingBird,25,+1 Lap,1:17.107,-3
10,54,Leonardo Chan,Shanghai Power Racing,25,+1 Lap,1:16.838,0
11,48,Parker Chen,Shanghai Power Racing,24,+2 Laps,1:16.290,+1
12,17,Eskwen,Team Russian Poisonous Milk,24,+2 Laps,1:16.301,-1
