Pos.,No.,Name,Team,Laps,Time/Gap,Personal Best,Position Diff
1,15,wagonggong,Team Russian Poisonous Milk,26,31:40.533,1:11.222,0
2,21,lovepes2010,Audi Sport Team FlyingBird,26,+1.166,1:11.600,0
3,22,smallbubble,NorthernChina Racing,26,+14.182,1:11.651,+1
4,23,OMGCA,xTacing OFCR Team,26,+15.697,1:11.901,-1
5,99,DumiBirdF,Audi Sport Team FlyingBird,26,+70.883,1:13.090,0
6,63,Kne_Yka,Kimi Sleeping Team,25,+1 Lap,1:13.219,0
7,17,Eskwen,Team Russian Poisonous Milk,24,+2 Laps,1:13.404,0
8,60,Superflycar,Kimi Sleeping Team,24,+2 Laps,1:12.519,+3
9,7,LeonardoChan,Shanghai Power Racing,24,+2 Laps,1:13.641,+1
10,28,bob,xTacing OFCR Team,22,+4 Laps,1:13.753,-2
11,56,112sanzxing,NorthernChina Racing,20,DNF,1:12.712,-2
12,48,Parker Chen,Shanghai Power Racing,0,DNF,N/A,0
Pos.,No.,Name,Team,Laps,Time/Gap,Personal Best,Position Diff
1,15,wagonggong,Team Russian Poisonous Milk,26,31:40.533,1:11.222,0
2,21,lovepes2010,Audi Sport Team FlyingBird,26,+1.166,1:11.600,0
3,22,smallbubble,NorthernChina Racing,26,+14.182,1:11.651,+1
4,23,OMGCA,xTacing OFCR Team,26,+15.697,1:11.901,-1
5,99,DumiBirdF,Audi Sport Team FlyingBird,26,+70.883,1:13.090,0
6,63,Kne_Yka,Kimi Sleeping Team,25,+1 Lap,1:13.219,0
7,17,Eskwen,Team Russian Poisonous Milk,24,+2 Laps,1:13.404,0
8,60,Superflycar,Kimi Sleeping Team,24,+2 Laps,1:12.519,+3
9,7,LeonardoChan,Shanghai Power Racing,24,+2 Laps,1:13.641,+1
10,28,bob,xTacing OFCR Team,22,+4 Laps,1:13.753,-2
11,56,112sanzxing,NorthernChina Racing,20,DNF,1:12.712,-2
12,48,Parker Chen,Shanghai Power Racing,0,DNF,N/A,0
