Pos.,No.,Name,Team,Laps,Time/Gap,Personal Best,Position Diff
1,23,OMGCA,xTacing OFCR Team,30,38:50.282,1:12.243,+2
2,22,smallbubble,NorthernChina Racing,30,+7.980,1:12.405,+2
3,21,lovepes2010,Audi Sport Team FlyingBird,30,+31.752,1:11.703,-1
4,15,wagonggong,Team Russian Poisonous Milk,29,+1 Lap,1:12.267,-3
5,99,DumiBirdF,Audi Sport Team FlyingBird,27,+3 Laps,1:15.277,0
6,17,Eskwen,Team Russian Poisonous Milk,26,+4 Laps,1:14.488,0
7,54,bob,Shanghai Power Racing,24,+6 Laps,1:21.041,+1
8,60,Superflycar,Kimi Sleeping Team,6,DNF,1:17.083,+2
9,48,Parker Chen,Shanghai Power Racing,4,DNF,1:26.611,-2
10,0,ghgyyukg,Safety Car,2,DNF,1:40.767,+1
11,12,KneYka,xTacing OFCR Team,1,DNF,2:33.360,-2
