Pos.,No.,Name,Team,Laps,Time/Gap,Personal Best,Position Diff
1,15,wagonggong,Team Russian Poisonous Milk,28,32:56.950,1:09.067,0
2,21,lovepes2010,Audi Sport Team FlyingBird,28,+1.298,1:08.795,+1
3,99,DumiBirdF,Audi Sport Team FlyingBird,28,+23.986,1:09.713,+2
4,22,smallbubble,NorthernChina Racing,28,+28.483,1:09.198,+2
5,23,OMGCA,xTacing OFCR Team,28,+38.733,1:08.470,-3
6,63,Kne_Yka,Kimi Sleeping Team,28,+54.110,1:10.718,+2
7,27,SennaAndProst,Kimi Sleeping Team,27,+1 Lap,1:08.859,-3
8,47,FUKEC,NorthernChina Racing,27,+1 Lap,1:10.263,-1
9,54,112sanzxing,Shanghai Power Racing,27,+1 Lap,1:11.937,+2
10,28,bob,xTacing OFCR Team,26,+2 Laps,1:12.070,0
11,48,Parker Chen,Shanghai Power Racing,3,DNF,1:12.655,-2
12,0,ghgyyukg,Safety Car,0,DNF,N/A,0
Pos.,No.,Name,Team,Laps,Time/Gap,Personal Best,Position Diff
1,15,wagonggong,Team Russian Poisonous Milk,28,32:56.950,1:09.067,0
2,21,lovepes2010,Audi Sport Team FlyingBird,28,+1.298,1:08.795,+1
3,99,DumiBirdF,Audi Sport Team FlyingBird,28,+23.986,1:09.713,+2
4,22,smallbubble,NorthernChina Racing,28,+28.483,1:09.198,+2
5,23,OMGCA,xTacing OFCR Team,28,+38.733,1:08.470,-3
6,63,Kne_Yka,Kimi Sleeping Team,28,+54.110,1:10.718,+2
7,27,SennaAndProst,Kimi Sleeping Team,27,+1 Lap,1:08.859,-3
8,47,FUKEC,NorthernChina Racing,27,+1 Lap,1:10.263,-1
9,54,112sanzxing,Shanghai Power Racing,27,+1 Lap,1:11.937,+2
10,28,bob,xTacing OFCR Team,26,+2 Laps,1:12.070,0
11,48,Parker Chen,Shanghai Power Racing,3,DNF,1:12.655,-2
12,0,ghgyyukg,Safety Car,0,DNF,N/A,0
