Pos.,No.,Name,Team,Laps,Time/Gap,Personal Best,Position Diff
1,21,lovepes2010,Audi Sport Team FlyingBird,24,32:44.771,1:11.326,+1
2,60,DUO MEI,Kimi Sleeping Team,24,+0.273,1:11.852,+3
3,27,SennaAndProst,Kimi Sleeping Team,24,+5.941,1:11.971,+4
4,32,Giedo VDG2013,NorthernChina Racing,24,+7.518,1:12.223,+5
5,99,DumiBirdF,Audi Sport Team FlyingBird,24,+15.817,1:12.857,-2
6,12,Kne Yka,xTacing OFCR Team,24,+20.389,1:13.087,+5
7,7,FUKEC,Shanghai Power Racing,24,+68.888,1:13.367,+3
8,23,OMGCA,xTacing OFCR Team,23,+1 Lap,1:11.891,-2
9,22,smallbubble,NorthernChina Racing,22,DNF,1:11.721,-5
10,0,ghgyyukg,Safety Car,6,DNF,1:49.569,+3
11,15,wagonggong,Team Russian Poisonous Milk,4,DNF,1:12.428,-10
12,17,Eskwen,Team Russian Poisonous Milk,0,DNF,N/A,0
13,48,Parker Chen,Shanghai Power Racing,0,DNF,N/A,-5
Pos.,No.,Name,Team,Laps,Time/Gap,Personal Best,Position Diff
1,21,lovepes2010,Audi Sport Team FlyingBird,24,32:44.771,1:11.326,+1
2,60,DUO MEI,Kimi Sleeping Team,24,+0.273,1:11.852,+3
3,27,SennaAndProst,Kimi Sleeping Team,24,+5.941,1:11.971,+4
4,32,Giedo VDG2013,NorthernChina Racing,24,+7.518,1:12.223,+5
5,99,DumiBirdF,Audi Sport Team FlyingBird,24,+15.817,1:12.857,-2
6,12,Kne Yka,xTacing OFCR Team,24,+20.389,1:13.087,+5
7,7,FUKEC,Shanghai Power Racing,24,+68.888,1:13.367,+3
8,23,OMGCA,xTacing OFCR Team,23,+1 Lap,1:11.891,-2
9,22,smallbubble,NorthernChina Racing,22,DNF,1:11.721,-5
10,0,ghgyyukg,Safety Car,6,DNF,1:49.569,+3
11,15,wagonggong,Team Russian Poisonous Milk,4,DNF,1:12.428,-10
12,17,Eskwen,Team Russian Poisonous Milk,0,DNF,N/A,0
13,48,Parker Chen,Shanghai Power Racing,0,DNF,N/A,-5
Pos.,No.,Name,Team,Laps,Time/Gap,Personal Best,Position Diff
1,21,lovepes2010,Audi Sport Team FlyingBird,24,32:44.771,1:11.326,+1
2,60,DUO MEI,Kimi Sleeping Team,24,+0.273,1:11.852,+3
3,27,SennaAndProst,Kimi Sleeping Team,24,+5.941,1:11.971,+4
4,32,Giedo VDG2013,NorthernChina Racing,24,+7.518,1:12.223,+5
5,99,DumiBirdF,Audi Sport Team FlyingBird,24,+15.817,1:12.857,-2
6,12,Kne Yka,xTacing OFCR Team,24,+20.389,1:13.087,+5
7,7,FUKEC,Shanghai Power Racing,24,+68.888,1:13.367,+3
8,23,OMGCA,xTacing OFCR Team,23,+1 Lap,1:11.891,-2
9,22,smallbubble,NorthernChina Racing,22,DNF,1:11.721,-5
10,0,ghgyyukg,Safety Car,6,DNF,1:49.569,+3
11,15,wagonggong,Team Russian Poisonous Milk,4,DNF,1:12.428,-10
12,17,Eskwen,Team Russian Poisonous Milk,0,DNF,N/A,0
13,48,Parker Chen,Shanghai Power Racing,0,DNF,N/A,-5
