Pos.,No.,Name,Team,Laps,Time/Gap,Personal Best,Position Diff
1,15,wagonggong,Team Russian Poisonous Milk,20,42:09.286,1:43.114,0
2,21,lovepes2010,Audi Sport Team FlyingBird,20,+4.035,1:42.623,0
3,60,DUO MEI,Kimi Sleeping Team,20,+9.906,1:44.674,+1
4,22,smallbubble,NorthernChina Racing,20,+10.472,1:43.549,+1
5,7,LeonardoChan,Shanghai Power Racing,20,+20.838,1:46.644,+6
6,99,DumiBirdF,Audi Sport Team FlyingBird,20,+58.486,1:46.396,0
7,17,Eskwen,Team Russian Poisonous Milk,20,+79.050,1:47.780,+1
8,27,SennaAndProst,Kimi Sleeping Team,20,+120.511,1:45.923,+1
9,12,Kne Yka,xTacing OFCR Team,13,DNF,1:45.962,-2
10,0,ghgyyukg,Safety Car,8,DNF,2:27.714,+2
11,48,Parker Chen,Shanghai Power Racing,3,DNF,1:57.501,-1
12,23,OMGCA,xTacing OFCR Team,0,DNF,N/A,-9
