Pos.,No.,Name,Team,Laps,Time/Gap,Personal Best,Position Diff
1,15,wagonggong,Team Russian Poisonous Milk,24,33:10.969,1:20.443,0
2,21,lovepes2010,Audi Sport Team FlyingBird,24,+1.098,1:20.416,0
3,27,SennaAndProst,Kimi Sleeping Team,24,+5.928,1:20.888,0
4,22,smallbubble,NorthernChina Racing,24,+9.704,1:21.221,+1
5,91,DUO MEI,Team Russian Poisonous Milk,24,+23.928,1:21.244,+2
6,23,OMGCA,xTacing OFCR Team,24,+24.434,1:20.925,-2
7,75,MSC,Audi Sport Team FlyingBird,23,+1 Lap,1:24.655,+4
8,28,bob,xTacing OFCR Team,23,+1 Lap,1:23.741,+2
9,60,Superflycar,Kimi Sleeping Team,19,+5 Laps,1:21.990,0
10,7,LeonardoChan,Shanghai Power Racing,16,DNF,1:22.477,-2
11,48,Parker Chen,Shanghai Power Racing,11,DNF,1:21.484,-5
