Pos.,No.,Name,Team,Laps,Time/Gap,Personal Best,Position Diff
1,21,lovepes2010,Audi Sport Team FlyingBird,20,40:20.413,1:47.536,+1
2,91,DUO MEI,Team Russian Poisonous Milk,20,+2.122,1:46.622,-1
3,22,smallbubble,NorthernChina Racing,20,+12.049,1:47.007,+4
4,12,Kne Yka,xTacing OFCR Team,15,DNF,1:55.938,+2
5,32,Giedo VDG2013,NorthernChina Racing,13,DNF,1:49.099,-1
6,48,Parker Chen,Shanghai Power Racing,6,DNF,2:00.771,-1
7,0,wagonggong,Safety Car,5,DNF,2:34.201,+2
8,23,OMGCA,xTacing OFCR Team,2,DNF,1:56.385,-5
9,17,Eskwen,Team Russian Poisonous Milk,0,DNF,N/A,-1
Pos.,No.,Name,Team,Laps,Time/Gap,Personal Best,Position Diff
1,21,lovepes2010,Audi Sport Team FlyingBird,20,40:20.413,1:47.536,+1
2,91,DUO MEI,Team Russian Poisonous Milk,20,+2.122,1:46.622,-1
3,22,smallbubble,NorthernChina Racing,20,+12.049,1:47.007,+4
4,12,Kne Yka,xTacing OFCR Team,15,DNF,1:55.938,+2
5,32,Giedo VDG2013,NorthernChina Racing,13,DNF,1:49.099,-1
6,48,Parker Chen,Shanghai Power Racing,6,DNF,2:00.771,-1
7,0,wagonggong,Safety Car,5,DNF,2:34.201,+2
8,23,OMGCA,xTacing OFCR Team,2,DNF,1:56.385,-5
9,17,Eskwen,Team Russian Poisonous Milk,0,DNF,N/A,-1
Pos.,No.,Name,Team,Laps,Time/Gap,Personal Best,Position Diff
1,21,lovepes2010,Audi Sport Team FlyingBird,20,40:20.413,1:47.536,+1
2,91,DUO MEI,Team Russian Poisonous Milk,20,+2.122,1:46.622,-1
3,22,smallbubble,NorthernChina Racing,20,+12.049,1:47.007,+4
4,12,Kne Yka,xTacing OFCR Team,15,DNF,1:55.938,+2
5,32,Giedo VDG2013,NorthernChina Racing,13,DNF,1:49.099,-1
6,48,Parker Chen,Shanghai Power Racing,6,DNF,2:00.771,-1
7,0,wagonggong,Safety Car,5,DNF,2:34.201,+2
8,23,OMGCA,xTacing OFCR Team,2,DNF,1:56.385,-5
9,17,Eskwen,Team Russian Poisonous Milk,0,DNF,N/A,-1
