Pos.,No.,Name,Team,Laps,Time/Gap,Personal Best,Position Diff
1,91,DUO MEI,Team Russian Poisonous Milk,22,33:19.320,1:28.447,+1
2,21,lovepes2010,Audi Sport Team FlyingBird,22,+1.430,1:27.969,-1
3,19,hcehce419,Audi Sport Team FlyingBird,22,+49.327,1:30.129,+4
4,22,smallbubble,NorthernChina Racing,22,+50.376,1:28.428,+1
5,12,Kne Yka,xTacing OFCR Team,22,+51.924,1:30.568,+4
6,23,OMGCA,xTacing OFCR Team,21,+1 Lap,1:28.751,-2
7,15,wagonggong,Team Russian Poisonous Milk,21,+1 Lap,1:28.583,-4
8,48,Parker Chen,Shanghai Power Racing,20,+2 Laps,1:30.460,0
9,32,Giedo VDG2013,NorthernChina Racing,3,DNF,1:30.566,-3
Pos.,No.,Name,Team,Laps,Time/Gap,Personal Best,Position Diff
1,91,DUO MEI,Team Russian Poisonous Milk,22,33:19.320,1:28.447,+1
2,21,lovepes2010,Audi Sport Team FlyingBird,22,+1.430,1:27.969,-1
3,19,hcehce419,Audi Sport Team FlyingBird,22,+49.327,1:30.129,+4
4,22,smallbubble,NorthernChina Racing,22,+50.376,1:28.428,+1
5,12,Kne Yka,xTacing OFCR Team,22,+51.924,1:30.568,+4
6,23,OMGCA,xTacing OFCR Team,21,+1 Lap,1:28.751,-2
7,15,wagonggong,Team Russian Poisonous Milk,21,+1 Lap,1:28.583,-4
8,48,Parker Chen,Shanghai Power Racing,20,+2 Laps,1:30.460,0
9,32,Giedo VDG2013,NorthernChina Racing,3,DNF,1:30.566,-3
