Pos.,No.,Name,Team,Laps,Time/Gap,Personal Best,Position Diff
1,15,wagonggong,Team Russian Poisonous Milk,22,35:16.723,1:33.886,0
2,27,SennaAndProst,Kimi Sleeping Team,22,+3.687,1:34.208,+5
3,22,smallbubble,NorthernChina Racing,22,+4.483,1:34.527,+1
4,23,OMGCA,xTacing OFCR Team,22,+19.011,1:34.605,+1
5,60,DUO MEI,Kimi Sleeping Team,22,+30.487,1:35.223,+1
6,21,lovepes2010,Audi Sport Team FlyingBird,22,+30.786,1:33.857,-4
7,99,DumiBirdF,Audi Sport Team FlyingBird,22,+85.290,1:36.025,-4
8,30,Superflycar,Team Russian Poisonous Milk,22,+103.144,1:35.679,+3
9,12,Kne Yka,xTacing OFCR Team,21,+1 Lap,1:36.222,+1
10,32,Giedo VDG2013,NorthernChina Racing,13,DNF,1:35.200,-2
11,48,Parker Chen,Shanghai Power Racing,6,DNF,1:38.317,-2
