Pos.,No.,Name,Team,Laps,Time/Gap,Personal Best
1,23,OMGCA,xTacing OFCR Team,28,31:37.762,1:03.553
2,15,wagonggong,Team Russian Poisonous Milk,28,+0.458,1:03.194
3,22,smallbubble,NorthernChina Racing,28,+29.263,1:04.013
4,48,Parker Chen,Shanghai Power Racing,27,+1 Lap(s),1:04.848
5,72,Kne_Yka,xTacing OFCR Team,27,+1 Lap(s),1:04.826
6,30,Superflycar,Team Russian Poisonous Milk,5,DNF,1:06.619
7,7,LeonardoChan,Shanghai Power Racing,3,DNF,1:15.394
8,0,ghgyyukg,Safety Car,2,DNF,1:43.198
9,21,lovepes2010,Audi Sport Team FlyingBird,0,DNF,N/A
10,0,SennaAndProst,Safety Car,0,DNF,N/A
